Sentence#,Word ,POS,Tag
Sentence: 1,Ribuan,NNS,O
,dari,IN,O
,demonstran,NNS,O
,memiliki,VBP,O
,berbaris,VBN,O
,melalui,IN,O
,London,NNP,B-geo
,ke,TO,O
,protes,VB,O
,itu,DT,O
,perang,NN,O
,di dalam,IN,O
,Irak,NNP,B-geo
,Dan,CC,O
,tuntutan,VB,O
,itu,DT,O
,penarikan,NN,O
,dari,IN,O
,Inggris,JJ,B-gpe
,pasukan,NNS,O
,dari,IN,O
,itu,DT,O
,negara,NN,O
,.,.,O
Sentence: 2,Keluarga,NNS,O
,dari,IN,O
,tentara,NNS,O
,terbunuh,VBN,O
,di dalam,IN,O
,itu,DT,O
,konflik,NN,O
,bergabung,VBD,O
,itu,DT,O
,pengunjuk rasa,NNS,O
,WHO,WP,O
,telah membawa,VBD,O
,Spanduk,NNS,O
,dengan,IN,O
,seperti,JJ,O
,slogan,NNS,O
,sebagai,IN,O
,"""",``,O
,Semak-semak,NNP,B-per
,Nomor,NN,O
,Satu,CD,O
,Teroris,NN,O
,"""",``,O
,Dan,CC,O
,"""",``,O
,Berhenti,VB,O
,itu,DT,O
,Pemboman,NNS,O
,.,.,O
,"""",``,O
Sentence: 3,Mereka,PRP,O
,berbaris,VBD,O
,dari,IN,O
,itu,DT,O
,Rumah,NNS,O
,dari,IN,O
,Parlemen,NN,O
,ke,TO,O
,A,DT,O
,rapat umum,NN,O
,di dalam,IN,O
,Hyde,NNP,B-geo
,Taman,NNP,I-geo
,.,.,O
Sentence: 4,POLISI,NNS,O
,meletakkan,VBD,O
,itu,DT,O
,nomor,NN,O
,dari,IN,O
,Marchers,NNS,O
,pada,IN,O
,10.000,CD,O
,ketika,IN,O
,Penyelenggara,NNS,O
,diklaim,VBD,O
,dia,PRP,O
,dulu,VBD,O
,"1,00,000",CD,O
,.,.,O
Sentence: 5,Itu,DT,O
,protes,NN,O
,datang,VBZ,O
,pada,IN,O
,itu,DT,O
,malam,NN,O
,dari,IN,O
,itu,DT,O
,tahunan,JJ,O
,konferensi,NN,O
,dari,IN,O
,Britania,NNP,B-geo
,S,POS,O
,berkuasa,VBG,O
,Tenaga kerja,NNP,B-org
,Berpesta,NNP,I-org
,di dalam,IN,O
,itu,DT,O
,Selatan,JJ,O
,inggris,JJ,B-gpe
,tepi laut,NN,O
,resor,NN,O
,dari,IN,O
,Brighton,NNP,B-geo
,.,.,O
Sentence: 6,Itu,DT,O
,berpesta,NN,O
,adalah,VBZ,O
,terbagi,VBN,O
,lebih,IN,O
,Britania,NNP,B-gpe
,S,POS,O
,partisipasi,NN,O
,di dalam,IN,O
,itu,DT,O
,Irak,NNP,B-geo
,konflik,NN,O
,Dan,CC,O
,itu,DT,O
,lanjutan,JJ,O
,penyebaran,NN,O
,dari,IN,O
,8.500,CD,O
,Inggris,JJ,B-gpe
,pasukan,NNS,O
,di dalam,IN,O
,itu,DT,O
,negara,NN,O
,.,.,O
Sentence: 7,Itu,DT,O
,London,NNP,B-geo
,berbaris,NN,O
,telah datang,VBD,O
,di depan,RB,O
,dari,IN,O
,Mengembangkan,JJ,O
,protes,NNS,O
,Hari ini,NN,O
,di dalam,IN,O
,lainnya,JJ,O
